constrset,inst,index,x,y,valid
constr_1_0000,t1i1r01,0,0,0,1
constr_1_0000,t1i1r01,1,0,2,1
constr_1_0000,t1i1r01,2,0,4,1
constr_1_0000,t1i1r01,3,0,6,1
constr_1_0000,t1i1r01,4,0,8,1
constr_1_0000,t1i1r01,5,0,10,1
constr_1_0000,t1i1r01,6,0,12,1
constr_1_0000,t1i1r01,7,0,14,1
constr_1_0000,t1i1r01,8,0,16,1
constr_1_0000,t1i1r01,9,0,18,1
constr_1_0000,t1i1r01,10,0,20,1
constr_1_0000,t1i1r01,11,0,22,1
constr_1_0000,t1i1r01,12,0,24,1
constr_1_0000,t1i1r01,13,0,26,1
constr_1_0000,t1i1r01,14,0,28,1
constr_1_0000,t1i1r01,15,0,30,1
constr_1_0000,t1i1r01,16,0,32,1
constr_1_0000,t1i1r01,17,0,34,1
constr_1_0000,t1i1r01,18,0,36,1
constr_1_0000,t1i1r01,19,0,38,1
constr_1_0000,t1i1r01,20,0,40,1
constr_1_0000,t1i1r01,21,0,42,1
constr_1_0000,t1i1r01,22,0,44,1
constr_1_0000,t1i1r01,23,0,46,1
constr_1_0000,t1i1r01,24,0,48,1
constr_1_0000,t1i1r01,25,2,0,1
constr_1_0000,t1i1r01,26,2,2,1
constr_1_0000,t1i1r01,27,2,4,1
constr_1_0000,t1i1r01,28,2,6,1
constr_1_0000,t1i1r01,29,2,8,1
constr_1_0000,t1i1r01,30,2,10,1
constr_1_0000,t1i1r01,31,2,12,1
constr_1_0032,t1i1r02,0,2,14,1
constr_1_0032,t1i1r02,1,2,16,1
constr_1_0032,t1i1r02,2,2,18,1
constr_1_0032,t1i1r02,3,2,20,1
constr_1_0032,t1i1r02,4,2,22,1
constr_1_0032,t1i1r02,5,2,24,1
constr_1_0032,t1i1r02,6,2,26,1
constr_1_0032,t1i1r02,7,2,28,1
constr_1_0032,t1i1r02,8,2,30,1
constr_1_0032,t1i1r02,9,2,32,1
constr_1_0032,t1i1r02,10,2,34,1
constr_1_0032,t1i1r02,11,2,36,1
constr_1_0032,t1i1r02,12,2,38,1
constr_1_0032,t1i1r02,13,2,40,1
constr_1_0032,t1i1r02,14,2,42,1
constr_1_0032,t1i1r02,15,2,44,1
constr_1_0032,t1i1r02,16,2,46,1
