constrset,inst,index,x,y,valid
constr_1_0000,t1i1r01,0,2,0,1
constr_1_0000,t1i1r01,1,2,2,1
constr_1_0000,t1i1r01,2,2,4,1
constr_1_0000,t1i1r01,3,2,6,1
constr_1_0000,t1i1r01,4,2,8,1
constr_1_0000,t1i1r01,5,2,10,1
constr_1_0000,t1i1r01,6,2,12,1
constr_1_0000,t1i1r01,7,2,14,1
constr_1_0000,t1i1r01,8,2,16,1
constr_1_0000,t1i1r01,9,2,18,1
constr_1_0000,t1i1r01,10,2,20,1
constr_1_0000,t1i1r01,11,2,22,1
constr_1_0000,t1i1r01,12,2,24,1
constr_1_0000,t1i1r01,13,2,26,1
constr_1_0000,t1i1r01,14,2,28,1
constr_1_0000,t1i1r01,15,2,30,1
constr_1_0000,t1i1r01,16,2,32,1
constr_1_0000,t1i1r01,17,2,34,1
constr_1_0000,t1i1r01,18,2,36,1
constr_1_0000,t1i1r01,19,2,38,1
constr_1_0000,t1i1r01,20,2,40,1
constr_1_0000,t1i1r01,21,2,42,1
constr_1_0000,t1i1r01,22,2,44,1
constr_1_0000,t1i1r01,23,2,46,1
constr_1_0000,t1i1r01,24,2,48,1
constr_1_0000,t1i1r01,25,2,50,1
constr_1_0000,t1i1r01,26,2,52,1
constr_1_0000,t1i1r01,27,2,54,1
constr_1_0000,t1i1r01,28,2,56,1
constr_1_0000,t1i1r01,29,2,58,1
constr_1_0000,t1i1r01,30,2,60,1
constr_1_0000,t1i1r01,31,2,62,1
constr_1_0032,t1i1r02,0,2,64,1
constr_1_0032,t1i1r02,1,2,66,1
constr_1_0032,t1i1r02,2,2,68,1
constr_1_0032,t1i1r02,3,2,70,1
constr_1_0032,t1i1r02,4,2,72,1
constr_1_0032,t1i1r02,5,2,74,1
constr_1_0032,t1i1r02,6,2,76,1
constr_1_0032,t1i1r02,7,2,78,1
constr_1_0032,t1i1r02,8,2,80,1
constr_1_0032,t1i1r02,9,2,82,1
constr_1_0032,t1i1r02,10,2,84,1
constr_1_0032,t1i1r02,11,2,86,1
constr_1_0032,t1i1r02,12,2,88,1
constr_1_0032,t1i1r02,13,2,90,1
constr_1_0032,t1i1r02,14,2,92,1
constr_1_0032,t1i1r02,15,2,94,1
constr_1_0032,t1i1r02,16,2,96,1
constr_1_0032,t1i1r02,17,2,98,1
constr_1_0032,t1i1r02,18,4,0,1
constr_1_0032,t1i1r02,19,4,2,1
constr_1_0032,t1i1r02,20,4,4,1
constr_1_0032,t1i1r02,21,4,6,1
constr_1_0032,t1i1r02,22,4,8,1
constr_1_0032,t1i1r02,23,4,10,1
constr_1_0032,t1i1r02,24,4,12,1
constr_1_0032,t1i1r02,25,4,14,1
constr_1_0032,t1i1r02,26,4,16,1
constr_1_0032,t1i1r02,27,4,18,1
constr_1_0032,t1i1r02,28,4,20,1
constr_1_0032,t1i1r02,29,4,22,1
constr_1_0032,t1i1r02,30,4,24,1
constr_1_0032,t1i1r02,31,4,26,1
constr_1_0064,t1i1r03,0,4,28,1
constr_1_0064,t1i1r03,1,4,30,1
constr_1_0064,t1i1r03,2,4,32,1
constr_1_0064,t1i1r03,3,4,34,1
constr_1_0064,t1i1r03,4,4,36,1
constr_1_0064,t1i1r03,5,4,38,1
constr_1_0064,t1i1r03,6,4,40,1
constr_1_0064,t1i1r03,7,4,42,1
constr_1_0064,t1i1r03,8,4,44,1
constr_1_0064,t1i1r03,9,4,46,1
constr_1_0064,t1i1r03,10,4,48,1
constr_1_0064,t1i1r03,11,4,50,1
constr_1_0064,t1i1r03,12,4,52,1
constr_1_0064,t1i1r03,13,4,54,1
constr_1_0064,t1i1r03,14,4,56,1
constr_1_0064,t1i1r03,15,4,58,1
constr_1_0064,t1i1r03,16,4,60,1
constr_1_0064,t1i1r03,17,4,62,1
constr_1_0064,t1i1r03,18,4,64,1
constr_1_0064,t1i1r03,19,4,66,1
constr_1_0064,t1i1r03,20,4,68,1
constr_1_0064,t1i1r03,21,4,70,1
constr_1_0064,t1i1r03,22,4,72,1
constr_1_0064,t1i1r03,23,4,74,1
constr_1_0064,t1i1r03,24,4,76,1
constr_1_0064,t1i1r03,25,4,78,1
constr_1_0064,t1i1r03,26,4,80,1
constr_1_0064,t1i1r03,27,4,82,1
constr_1_0064,t1i1r03,28,4,84,1
constr_1_0064,t1i1r03,29,4,86,1
constr_1_0064,t1i1r03,30,4,88,1
constr_1_0064,t1i1r03,31,4,90,1
constr_1_0096,t1i1r04,0,4,92,1
constr_1_0096,t1i1r04,1,4,94,1
constr_1_0096,t1i1r04,2,4,96,1
constr_1_0096,t1i1r04,3,4,98,1
constr_1_0096,t1i1r04,4,6,0,1
constr_1_0096,t1i1r04,5,6,2,1
constr_1_0096,t1i1r04,6,6,4,1
constr_1_0096,t1i1r04,7,6,6,1
constr_1_0096,t1i1r04,8,6,8,1
constr_1_0096,t1i1r04,9,6,10,1
constr_1_0096,t1i1r04,10,6,12,1
constr_1_0096,t1i1r04,11,6,14,1
constr_1_0096,t1i1r04,12,6,16,1
constr_1_0096,t1i1r04,13,6,18,1
constr_1_0096,t1i1r04,14,6,20,1
constr_1_0096,t1i1r04,15,6,22,1
constr_1_0096,t1i1r04,16,6,24,1
constr_1_0096,t1i1r04,17,6,26,1
constr_1_0096,t1i1r04,18,6,28,1
constr_1_0096,t1i1r04,19,6,30,1
constr_1_0096,t1i1r04,20,6,32,1
constr_1_0096,t1i1r04,21,6,34,1
constr_1_0096,t1i1r04,22,6,36,1
constr_1_0096,t1i1r04,23,6,38,1
constr_1_0096,t1i1r04,24,6,40,1
constr_1_0096,t1i1r04,25,6,42,1
constr_1_0096,t1i1r04,26,6,44,1
constr_1_0096,t1i1r04,27,6,46,1
constr_1_0096,t1i1r04,28,6,48,1
constr_1_0096,t1i1r04,29,6,50,1
constr_1_0096,t1i1r04,30,6,52,1
constr_1_0096,t1i1r04,31,6,54,1
constr_1_0128,t1i1r05,0,6,56,1
constr_1_0128,t1i1r05,1,6,58,1
constr_1_0128,t1i1r05,2,6,60,1
constr_1_0128,t1i1r05,3,6,62,1
constr_1_0128,t1i1r05,4,6,64,1
